Males 2001,Females 2001,Males 2002,Females 2002,Males 2003,Females 2003,Males 2004,Females 2004,Males 2005,Females 2005,Males 2006,Females 2006,Males 2007,Females 2007,Males 2008,Females 2008,Males 2009,Females 2009,Males 2010,Females 2010,Males 2011,Females 2011,Males 2012,Females 2012
"95,087","97,338","95,098","97,343","95,125","97,358","95,235","97,408","95,237","97,419","95,162","97,432","95,250","97,458","95,398","97,539","95,547","97,541","95,682","97,621","95,666","95,666","95,691","97,627"
"94,821","97,179","94,829","97,181","94,859","97,198","94,982","97,253","94,983","97,265","94,912","97,279","95,008","97,312","95,167","97,394","95,317","97,398","95,470","97,487","95,453","95,453","95,478","97,492"
"94,536","97,008","94,539","97,006","94,572","97,025","94,708","97,085","94,708","97,097","94,640","97,112","94,745","97,152","94,916","97,234","95,067","97,241","95,239","97,340","95,223","95,223","95,249","97,345"
"94,228","96,824","94,227","96,818","94,262","96,838","94,411","96,901","94,409","96,913","94,345","96,929","94,458","96,976","94,639","97,057","94,794","97,066","94,983","97,177","94,970","94,970","95,000","97,184"
"93,893","96,626","93,889","96,615","93,924","96,636","94,087","96,702","94,084","96,713","94,024","96,730","94,147","96,782","94,336","96,862","94,496","96,873","94,699","96,996","94,691","94,691","94,728","97,006"
"93,528","96,413","93,525","96,397","93,558","96,418","93,733","96,484","93,732","96,496","93,677","96,512","93,809","96,570","94,005","96,649","94,172","96,662","94,387","96,796","94,384","94,384","94,431","96,810"
"93,132","96,184","93,131","96,162","93,161","96,182","93,350","96,248","93,352","96,260","93,303","96,278","93,446","96,340","93,647","96,418","93,823","96,433","94,045","96,578","94,047","94,047","94,107","96,594"
"92,705","95,937","92,707","95,910","92,734","95,929","92,935","95,994","92,941","96,005","92,899","96,025","93,053","96,092","93,258","96,168","93,444","96,185","93,671","96,340","93,679","93,679","93,750","96,358"
"92,249","95,670","92,252","95,639","92,275","95,657","92,488","95,723","92,496","95,732","92,462","95,754","92,626","95,825","92,835","95,900","93,029","95,916","93,265","96,081","93,274","93,274","93,356","96,099"
"91,766","95,383","91,766","95,350","91,786","95,368","92,006","95,436","92,014","95,440","91,987","95,465","92,163","95,539","92,375","95,611","92,576","95,626","92,822","95,798","92,831","92,831","92,921","95,817"
"91,256","95,076","91,247","95,040","91,263","95,058","91,486","95,130","91,491","95,127","91,472","95,156","91,659","95,231","91,874","95,300","92,080","95,311","92,342","95,491","92,349","92,349","92,446","95,510"
"90,716","94,746","90,692","94,709","90,703","94,726","90,928","94,805","90,924","94,791","90,915","94,824","91,114","94,900","91,332","94,966","91,542","94,972","91,823","95,157","91,827","91,827","91,930","95,178"
"90,144","94,391","90,100","94,353","90,106","94,368","90,330","94,456","90,316","94,430","90,316","94,468","90,528","94,545","90,749","94,610","90,961","94,610","91,264","94,800","91,265","91,265","91,372","94,822"
"89,532","94,006","89,469","93,968","89,471","93,983","89,697","94,080","89,670","94,043","89,678","94,086","89,901","94,167","90,126","94,231","90,338","94,225","90,660","94,420","90,660","90,660","90,769","94,442"
"88,871","93,585","88,796","93,549","88,796","93,565","89,028","93,673","88,988","93,630","89,003","93,677","89,235","93,763","89,461","93,829","89,674","93,819","90,010","94,018","90,009","90,009","90,117","94,035"
"88,152","93,120","88,077","93,094","88,080","93,112","88,325","93,233","88,271","93,188","88,292","93,240","88,528","93,333","88,753","93,404","88,967","93,391","89,309","93,592","89,309","89,309","89,415","93,600"
"87,367","92,607","87,308","92,597","87,317","92,621","87,583","92,758","87,516","92,716","87,543","92,772","87,777","92,874","87,999","92,951","88,211","92,937","88,554","93,140","88,557","88,557","88,661","93,136"
"86,512","92,041","86,483","92,057","86,503","92,088","86,795","92,243","86,715","92,208","86,752","92,271","86,980","92,381","87,196","92,466","87,408","92,452","87,746","92,656","87,754","87,754","87,854","92,640"
"85,590","91,425","85,594","91,469","85,628","91,507","85,950","91,683","85,860","91,656","85,912","91,730","86,134","91,850","86,343","91,941","86,556","91,930","86,889","92,136","86,900","86,900","86,996","92,111"
"84,602","90,760","84,635","90,831","84,684","90,874","85,038","91,074","84,937","91,053","85,013","91,141","85,235","91,275","85,437","91,369","85,655","91,365","85,984","91,575","85,999","85,999","86,088","91,546"
"83,544","90,041","83,595","90,134","83,661","90,179","84,046","90,406","83,934","90,388","84,044","90,493","84,278","90,649","84,476","90,745","84,704","90,752","85,031","90,969","85,050","85,050","85,128","90,944"
"82,407","89,262","82,464","89,370","82,551","89,417","82,970","89,672","82,844","89,654","82,996","89,779","83,259","89,969","83,456","90,064","83,700","90,089","84,029","90,317","84,052","84,052","84,112","90,301"
"81,186","88,418","81,242","88,536","81,353","88,587","81,807","88,873","81,668","88,852","81,868","88,999","82,174","89,231","82,372","89,326","82,639","89,374","82,972","89,615","83,002","83,002","83,040","89,611"
"79,877","87,506","79,933","87,634","80,072","87,694","80,564","88,010","80,415","87,985","80,664","88,158","81,020","88,435","81,221","88,530","81,514","88,605","81,853","88,858","81,895","81,895","81,912","88,870"
"78,472","86,522","78,542","86,664","78,711","86,738","79,246","87,086","79,094","87,059","79,391","87,262","79,792","87,577","79,998","87,674","80,316","87,777","80,663","88,040","80,723","80,723","80,724","88,070"
"76,972","85,460","77,069","85,623","77,268","85,716","77,850","86,095","77,704","86,069","78,046","86,308","78,483","86,649","78,693","86,749","79,037","86,882","79,390","87,150","79,473","79,473","79,472","87,205"
"75,371","84,316","75,505","84,500","75,731","84,616","76,365","85,028","76,242","85,015","76,619","85,285","77,079","85,640","77,297","85,746","77,666","85,911","78,025","86,178","78,136","78,136","78,152","86,268"
"73,659","83,080","73,835","83,288","74,091","83,429","74,783","83,874","74,689","83,887","75,101","84,184","75,578","84,546","75,805","84,659","76,202","84,858","76,566","85,123","76,703","76,703","76,754","85,254"
"71,825","81,748","72,045","81,976","72,338","82,146","73,095","82,628","73,031","82,673","73,489","82,993","73,979","83,366","74,216","83,485","74,647","83,722","75,015","83,984","75,177","75,177","75,270","84,162"
"69,866","80,313","70,126","80,558","70,466","80,758","71,294","81,279","71,253","81,362","71,772","81,704","72,283","82,097","72,530","82,220","73,003","82,499","73,371","82,760","73,558","73,558","73,695","82,987"
"67,791","78,779","68,083","79,036","68,482","79,264","69,380","79,822","69,349","79,944","69,950","80,309","70,488","80,732","70,745","80,858","71,265","81,179","71,631","81,444","71,837","71,837","72,012","81,716"
"65,606","77,144","65,928","77,410","66,392","77,665","67,356","78,255","67,314","78,407","68,016","78,798","68,585","79,260","68,849","79,385","69,421","79,749","69,787","80,021","70,007","70,007","70,210","80,332"
"63,300","75,392","63,653","75,663","64,176","75,944","65,212","76,566","65,140","76,736","65,956","77,166","66,559","77,668","66,824","77,785","67,464","78,203","67,828","78,486","68,061","68,061","68,283","78,832"
"60,861","73,504","61,246","73,783","61,824","74,090","62,931","74,747","62,821","74,918","63,758","75,401","64,401","75,944","64,663","76,052","65,374","76,530","65,742","76,827","65,995","65,995","66,233","77,213"
"58,290","71,477","58,699","71,765","59,330","72,095","60,502","72,794","60,351","72,938","61,424","73,505","62,103","74,078","62,368","74,184","63,148","74,717","63,519","75,037","63,804","63,804","64,068","75,465"
"55,593","69,309","56,029","69,607","56,694","69,959","57,934","70,714","57,729","70,784","58,959","71,484","59,680","72,078","59,942","72,181","60,795","72,771","61,163","73,107","61,485","61,485","61,785","73,576"
"52,778","66,995","53,243","67,306","53,943","67,686","55,250","68,507","54,963","68,455","56,366","69,328","57,138","69,940","57,394","70,035","58,311","70,686","58,684","71,033","59,039","59,039","59,369","71,529"
"49,863","64,536","50,347","64,856","51,081","65,261","52,452","66,152","52,061","65,948","53,643","67,017","54,464","67,652","54,715","67,737","55,685","68,450","56,062","68,799","56,458","56,458","56,808","69,318"
"46,855","61,924","47,357","62,251","48,107","62,672","49,532","63,632","49,033","63,260","50,791","64,538","51,650","65,194","51,894","65,268","52,913","66,043","53,302","66,394","53,729","53,729","54,102","66,939"
"43,762","59,141","44,275","59,475","45,034","59,917","46,491","60,936","45,892","60,392","47,810","61,880","48,699","62,557","48,928","62,623","50,008","63,461","50,405","63,820","50,846","50,846","51,239","64,365"
"40,595","56,200","41,103","56,524","41,868","56,999","43,347","58,063","42,658","57,347","44,698","59,044","45,612","59,751","45,842","59,808","46,979","60,719","47,375","61,079","47,817","47,817","48,245","61,615"
"37,347","53,103","37,859","53,409","38,626","53,911","40,127","55,018","39,353","54,135","41,477","56,035","42,415","56,776","42,662","56,832","43,845","57,822","44,221","58,167","44,669","44,669","45,137","58,695"
"34,040","49,835","34,563","50,120","35,346","50,657","36,838","51,808","36,002","50,769","38,185","52,867","39,145","53,621","39,403","53,687","40,613","54,742","40,973","55,082","41,410","41,410","41,913","55,608"
"30,707","46,414","31,232","46,676","32,034","47,249","33,508","48,445","32,638","47,265","34,866","49,547","35,827","50,314","36,069","50,355","37,304","51,475","37,666","51,814","38,066","38,066","38,582","52,335"
"27,387","42,846","27,894","43,114","28,701","43,686","30,186","44,934","29,292","43,649","31,497","46,069","32,390","46,853","32,638","46,859","33,889","48,041","34,247","48,344","34,665","34,665","35,181","48,874"
